numerai_ticker,ticker_cleaned,name,market_country,trends_us
MTH.JO,MTH,motus holdings,za,
MCG.JO,MCG,multichoice group,za,
MTLS,MTLS,materialise,us,True
ASND,ASND,ascendis pharma,us,True
SQNS,SQNS,sequans communications,us,True
CRTO,CRTO,criteo,us,True
TLND,TLND,talend,us,True
JMIA,JMIA,jumia technologies,us,True
BNTX,BNTX,biontech,us,True
KRZ.IR,KRZ,kerry group,ie,
FLTR.IR,FLTR,flutter entertainment,ie,
GL9.IR,GL9,glanbia,ie,
CRG.IR,CRG,crh,ie,
KRX.IR,KRX,kingspan group,ie,
IR5B.IR,IR5B,irish continental group,ie,
DHG.IR,DHG,dalata hotel group,ie,
T7O.IR,T7O,total produce,ie,
RY4C.IR,RY4C,ryanair holdings,ie,
SK3.IR,SK3,smurfit kappa group,ie,
FLY,FLY,fly leasing,us,True
BIRG.IR,BIRG,bank ireland group,ie,
GVR.IR,GVR,glenveagh properties,ie,
A5G.IR,A5G,aib group,ie,
UPR.IR,UPR,uniphar,ie,
RDHL,RDHL,redhill biopharma,us,True
TEVA,TEVA,teva pharmaceutical industries,us,True
GRFS,GRFS,grifols,us,True
SDRY.L,SDRY,superdry,gb,
ENT.L,ENT,entain,gb,
JUP.L,JUP,jupiter fund management,gb,
OCDO.L,OCDO,ocado group,gb,
IAG.L,IAG,international consolidated airlines group,gb,
GLEN.L,GLEN,glencore,gb,
GENL.L,GENL,genel energy,gb,
CEY.L,CEY,centamin,gb,
CNA.L,CNA,centrica,gb,
MSLH.L,MSLH,marshalls,gb,
HFD.L,HFD,halfords group,gb,
RDSB.L,RDSB,royal dutch shell,gb,
PFD.L,PFD,premier foods,gb,
SBRY.L,SBRY,j sainsbury,gb,
GKP.L,GKP,gulf keystone petroleum,gb,
ADM.L,ADM,admiral group,gb,
GRI.L,GRI,grainger,gb,
CHG.L,CHG,chemring group,gb,
CKN.L,CKN,clarkson,gb,
GNS.L,GNS,genus,gb,
RAT.L,RAT,rathbone brothers,gb,
AV.L,AV,aviva,gb,
CWK.L,CWK,cranswick,gb,
CRDA.L,CRDA,croda international,gb,
FUTR.L,FUTR,future,gb,
RDW.L,RDW,redrow,gb,
SMP.L,SMP,st modwen properties,gb,
RSW.L,RSW,renishaw,gb,
